,Unnamed: 0.1,Unnamed: 0,istab,wind,stab,x,sig_x,sig_y,sig_z,how
0,0,0,0,0.8,A,0.001,0.001,0.001,0.001,fit
0,0,0,0,0.8,A,1,1.5953823243287808,1.5953823243287808,0.136904699,fit
1,1,1,0,0.8,A,3.1622776601683795,2.631038179308829,2.631038179308829,0.4312823242076855,fit
2,2,2,0,0.8,A,10,9.566412168367236,9.566412168367236,1.594545195,fit
3,3,3,0,0.8,A,31.6227766,19.549243521233727,19.549243521233727,16.23955824058966,fit
4,4,4,0,0.8,A,100,80.80323639,80.80323639,197.70326244158764,fit
5,5,5,0,0.8,A,316.227766,251.2129363512559,251.2129363512559,948.2859326787236,fit
6,6,6,0,0.8,A,1000,854.1422115742014,854.1422115742014,4028.059367532999,fit
7,7,7,0,0.8,A,1778.2794100389228,1821.917731473668,1821.917731473668,6130.787775063498,fit
8,8,8,0,0.8,A,3162.2776601683795,3352.0531438480525,3352.0531438480525,7451.300283512316,fit
9,9,9,0,0.8,A,5623.413251903491,6367.564210517341,6367.564210517341,7452.300283512316,fit
10,10,10,0,0.8,A,10000,9024.747037092786,9024.747037092786,7748.280466755582,fit
11,11,11,0,0.8,A,31622.776601683792,27043.798982294986,27043.798982294986,8465.995738974725,fit
12,12,12,0,0.8,A,100000,50690.59650371837,50690.59650371837,20200.26795100727,fit
78,78,78,0,2.3,A,0.001,0.001,0.001,0.001,fit
78,78,78,0,2.3,A,1,1.048949424398938,1.048949424398938,0.099817713,fit
79,79,79,0,2.3,A,3.1622776601683795,2.2487430156371464,2.2487430156371464,0.6877933552189839,fit
80,80,80,0,2.3,A,10,8.910826482,8.910826482,3.434513066,fit
81,81,81,0,2.3,A,31.6227766,24.99884379639789,24.99884379639789,20.871139764467543,fit
82,82,82,0,2.3,A,100,80.14112001327682,80.14112001327682,86.55025469928808,fit
83,83,83,0,2.3,A,316.227766,224.2755437838967,224.2755437838967,369.7775375,fit
84,84,84,0,2.3,A,1000,677.0441500143473,677.0441500143473,1680.9773913590332,fit
85,85,85,0,2.3,A,1778.2794100389228,1243.837466139257,1243.837466139257,3186.454437372958,fit
86,86,86,0,2.3,A,3162.2776601683795,2281.909378,2281.909378,4764.907439049884,fit
87,87,87,0,2.3,A,5623.413251903491,3757.425553942056,3757.425553942056,5985.844243134058,fit
88,88,88,0,2.3,A,10000,5687.176728471104,5687.176728471104,6657.752459295581,fit
89,89,89,0,2.3,A,31622.776601683792,12545.968658019538,12545.968658019538,6658.752459295581,fit
90,90,90,0,2.3,A,100000,33240.61108,33240.61108,6659.752459295581,fit
13,13,13,1,0.8,B,0.001,0.001,0.001,0.001,fit
13,13,13,1,0.8,B,1,1.1523409706086696,1.1523409706086696,0.101609424,fit
14,14,14,1,0.8,B,3.1622776601683795,3.715808147077412,3.715808147077412,0.2200804513090315,fit
15,15,15,1,0.8,B,10,10.48812679107254,10.48812679107254,0.5785025051699948,fit
16,16,16,1,0.8,B,31.6227766,20.341007290314344,20.341007290314344,5.142551757112529,fit
17,17,17,1,0.8,B,100,73.19779218,73.19779218,98.95776903717018,fit
18,18,18,1,0.8,B,316.227766,237.4716813598468,237.4716813598468,486.9319096479864,fit
19,19,19,1,0.8,B,1000,739.3269613092629,739.3269613092629,2160.953559860259,fit
20,20,20,1,0.8,B,1778.2794100389228,1371.3597792858109,1371.3597792858109,3987.124691,fit
21,21,21,1,0.8,B,3162.2776601683795,2787.2523542305785,2787.2523542305785,5254.986170566818,fit
22,22,22,1,0.8,B,5623.413251903491,4502.869936056075,4502.869936056075,6225.915972160693,fit
23,23,23,1,0.8,B,10000,7220.029375115476,7220.029375115476,6929.644663203102,fit
24,24,24,1,0.8,B,31622.776601683792,21665.358590754324,21665.358590754324,8651.049499370063,fit
25,25,25,1,0.8,B,100000,53910.73116434924,53910.73116434924,18858.703521650208,fit
91,91,91,1,2.3,B,0.001,0.001,0.001,0.001,fit
91,91,91,1,2.3,B,1,0.9802527660666708,0.9802527660666708,0.058221515,fit
92,92,92,1,2.3,B,3.1622776601683795,2.3555280052645418,2.3555280052645418,0.3949724529019243,fit
93,93,93,1,2.3,B,10,8.921202887473527,8.921202887473527,1.7896977093967077,fit
94,94,94,1,2.3,B,31.6227766,23.950468690475613,23.950468690475613,11.371929629134437,fit
95,95,95,1,2.3,B,100,75.57881144041298,75.57881144041298,46.69486443428732,fit
96,96,96,1,2.3,B,316.227766,199.04344936768496,199.04344936768496,182.7302894,fit
97,97,97,1,2.3,B,1000,565.8188291602223,565.8188291602223,828.0115465617955,fit
98,98,98,1,2.3,B,1778.2794100389228,946.6197155038598,946.6197155038598,1710.4911966783277,fit
99,99,99,1,2.3,B,3162.2776601683795,1683.7220140011602,1683.7220140011602,3238.2955696962485,fit
100,100,100,1,2.3,B,5623.413251903491,2751.349945631169,2751.349945631169,4748.680874555421,fit
101,101,101,1,2.3,B,10000,4108.449787,4108.449787,6278.557719710958,fit
102,102,102,1,2.3,B,31622.776601683792,9589.879742,9589.879742,6429.938182708341,fit
103,103,103,1,2.3,B,100000,27876.89639981935,27876.89639981935,6689.272046452014,fit
169,169,169,1,4.1,B,0.001,0.001,0.001,0.001,fit
169,169,169,1,4.1,B,1,0.837737283,0.837737283,0.069747219,fit
170,170,170,1,4.1,B,3.1622776601683795,2.3088942607740712,2.3088942607740712,0.5716865304380964,fit
171,171,171,1,4.1,B,10,9.471463683526572,9.471463683526572,2.3334152375484294,fit
172,172,172,1,4.1,B,31.6227766,25.75109955770199,25.75109955770199,11.48287961260148,fit
173,173,173,1,4.1,B,100,72.72549849773979,72.72549849773979,36.78400132056458,fit
174,174,174,1,4.1,B,316.227766,183.85535186818387,183.85535186818387,142.53590353337145,fit
175,175,175,1,4.1,B,1000,518.7464647865098,518.7464647865098,650.9141316536478,fit
176,176,176,1,4.1,B,1778.2794100389228,853.0353732415313,853.0353732415313,1355.7308657372207,fit
177,177,177,1,4.1,B,3162.2776601683795,1486.2975192299882,1486.2975192299882,2754.5029821856065,fit
178,178,178,1,4.1,B,5623.413251903491,2419.548094822424,2419.548094822424,4224.291269024495,fit
179,179,179,1,4.1,B,10000,3661.536405532125,3661.536405532125,5995.464439128033,fit
180,180,180,1,4.1,B,31622.776601683792,7482.513133571244,7482.513133571244,6785.808116,fit
181,181,181,1,4.1,B,100000,17771.37149688508,17771.37149688508,6998.354094438633,fit
26,26,26,2,0.8,C,0.001,0.001,0.001,0.001,fit
26,26,26,2,0.8,C,1,1.3104642932381274,1.3104642932381274,0.047678755,fit
27,27,27,2,0.8,C,3.1622776601683795,3.300422297014693,3.300422297014693,0.121348914,fit
28,28,28,2,0.8,C,10,9.949592107,9.949592107,0.3128985510356104,fit
29,29,29,2,0.8,C,31.6227766,20.77108657,20.77108657,1.862946434776964,fit
30,30,30,2,0.8,C,100,65.27037393979715,65.27037393979715,44.80270103215083,fit
31,31,31,2,0.8,C,316.227766,220.9645203699453,220.9645203699453,187.0328933756592,fit
32,32,32,2,0.8,C,1000,571.3282135086915,571.3282135086915,814.2033196808154,fit
33,33,33,2,0.8,C,1778.2794100389228,1024.567911814288,1024.567911814288,1664.247075336791,fit
34,34,34,2,0.8,C,3162.2776601683795,1681.9515456642755,1681.9515456642755,3108.9508284187955,fit
35,35,35,2,0.8,C,5623.413251903491,2984.5686675410384,2984.5686675410384,4535.5279539729045,fit
36,36,36,2,0.8,C,10000,4570.4241034652205,4570.4241034652205,5882.458937078974,fit
37,37,37,2,0.8,C,31622.776601683792,15539.257924887566,15539.257924887566,8219.863747206888,fit
38,38,38,2,0.8,C,100000,50312.85229632329,50312.85229632329,17672.06312613861,fit
104,104,104,2,2.3,C,0.001,0.001,0.001,0.001,fit
104,104,104,2,2.3,C,1,1.0218535057578768,1.0218535057578768,0.034041982,fit
105,105,105,2,2.3,C,3.1622776601683795,2.5066728932349327,2.5066728932349327,0.179713477,fit
106,106,106,2,2.3,C,10,8.93150218,8.93150218,0.7502155674069746,fit
107,107,107,2,2.3,C,31.6227766,21.79293533284513,21.79293533284513,6.390612784907423,fit
108,108,108,2,2.3,C,100,64.01168881,64.01168881,23.092785529914213,fit
109,109,109,2,2.3,C,316.227766,150.61748362909069,150.61748362909069,73.46337898597912,fit
110,110,110,2,2.3,C,1000,393.5164556858773,393.5164556858773,314.0983118167036,fit
111,111,111,2,2.3,C,1778.2794100389228,644.4879129034899,644.4879129034899,637.5502429022577,fit
112,112,112,2,2.3,C,3162.2776601683795,1029.576781726693,1029.576781726693,1424.9103171423253,fit
113,113,113,2,2.3,C,5623.413251903491,1692.7957368971477,1692.7957368971477,2899.5332628963515,fit
114,114,114,2,2.3,C,10000,2633.685197175537,2633.685197175537,4571.436694091847,fit
115,115,115,2,2.3,C,31622.776601683792,5806.251590013114,5806.251590013114,7172.964368574587,fit
116,116,116,2,2.3,C,100000,20968.29700426024,20968.29700426024,7173.964368574587,fit
182,182,182,2,4.1,C,0.001,0.001,0.001,0.001,fit
182,182,182,2,4.1,C,1,0.8265042032945619,0.8265042032945619,0.047056403,fit
183,183,183,2,4.1,C,3.1622776601683795,2.526246603228523,2.526246603228523,0.2945864673631064,fit
184,184,184,2,4.1,C,10,8.240079258308953,8.240079258308953,1.404792706509769,fit
185,185,185,2,4.1,C,31.6227766,22.94260680005308,22.94260680005308,7.226082417110265,fit
186,186,186,2,4.1,C,100,58.31532037,58.31532037,18.313616857039648,fit
187,187,187,2,4.1,C,316.227766,137.03434026438214,137.03434026438214,63.080978354139575,fit
188,188,188,2,4.1,C,1000,345.3067894387167,345.3067894387167,249.3250059794136,fit
189,189,189,2,4.1,C,1778.2794100389228,602.6824108778975,602.6824108778975,516.4336218495799,fit
190,190,190,2,4.1,C,3162.2776601683795,825.4634749430444,825.4634749430444,1199.185503830816,fit
191,191,191,2,4.1,C,5623.413251903491,1608.0352794157966,1608.0352794157966,2323.9128109370376,fit
192,192,192,2,4.1,C,10000,2394.542575758805,2394.542575758805,3947.228860340085,fit
193,193,193,2,4.1,C,31622.776601683792,4870.975952210411,4870.975952210411,7272.668942765197,fit
194,194,194,2,4.1,C,100000,13061.330107449989,13061.330107449989,7273.668942765197,fit
234,234,234,2,6.7,C,0.001,0.001,0.001,0.001,fit
234,234,234,2,6.7,C,1,0.802723006,0.802723006,0.062591804,fit
235,235,235,2,6.7,C,3.1622776601683795,2.4181270283996805,2.4181270283996805,0.3954965127698252,fit
236,236,236,2,6.7,C,10,9.516365575423814,9.516365575423814,1.3873632221050989,fit
237,237,237,2,6.7,C,31.6227766,21.724530641368546,21.724530641368546,7.043976085635587,fit
238,238,238,2,6.7,C,100,56.72601104269769,56.72601104269769,16.798325674016013,fit
239,239,239,2,6.7,C,316.227766,129.51909057917973,129.51909057917973,56.64780331437282,fit
240,240,240,2,6.7,C,1000,343.8185262348645,343.8185262348645,235.02656374677355,fit
241,241,241,2,6.7,C,1778.2794100389228,566.1624165722462,566.1624165722462,457.6103659151421,fit
242,242,242,2,6.7,C,3162.2776601683795,858.9959151647266,858.9959151647266,1047.0517413330956,fit
243,243,243,2,6.7,C,5623.413251903491,1458.5870825096438,1458.5870825096438,2065.958763425354,fit
244,244,244,2,6.7,C,10000,2288.7259875452964,2288.7259875452964,3741.1475438567713,fit
245,245,245,2,6.7,C,31622.776601683792,4856.587231045453,4856.587231045453,7132.732886779192,fit
246,246,246,2,6.7,C,100000,9935.848177207865,9935.848177207865,7212.185667652508,fit
269,269,269,2,9.6,C,0.001,0.001,0.001,0.001,fit
269,269,269,2,9.6,C,1,0.5593131707676815,0.5593131707676815,0.071095986,fit
270,270,270,2,9.6,C,3.1622776601683795,3.2523073195932986,3.2523073195932986,0.3588998497983648,fit
271,271,271,2,9.6,C,10,7.082359430293907,7.082359430293907,1.895424228849764,fit
272,272,272,2,9.6,C,31.6227766,22.66544698783993,22.66544698783993,6.394911709348942,fit
273,273,273,2,9.6,C,100,53.56306386251352,53.56306386251352,16.493284716058053,fit
274,274,274,2,9.6,C,316.227766,127.15658499712012,127.15658499712012,55.52523200759968,fit
275,275,275,2,9.6,C,1000,339.9473303851166,339.9473303851166,226.1165407540195,fit
276,276,276,2,9.6,C,1778.2794100389228,546.0134398791424,546.0134398791424,471.3611254154727,fit
277,277,277,2,9.6,C,3162.2776601683795,887.3639859225916,887.3639859225916,976.8617231,fit
278,278,278,2,9.6,C,5623.413251903491,1403.135466775773,1403.135466775773,2190.6603330488742,fit
279,279,279,2,9.6,C,10000,2257.7958601147643,2257.7958601147643,3596.6439071706777,fit
280,280,280,2,9.6,C,31622.776601683792,4639.4537362937135,4639.4537362937135,7054.575771807593,fit
281,281,281,2,9.6,C,100000,9954.864465329209,9954.864465329209,7092.277361017433,fit
295,295,295,2,12,C,0.001,0.001,0.001,0.001,fit
295,295,295,2,12,C,1,0.7650263808495427,0.7650263808495427,0.065830339,fit
296,296,296,2,12,C,3.1622776601683795,2.480885546332833,2.480885546332833,0.3951711422819376,fit
297,297,297,2,12,C,10,8.997519781661621,8.997519781661621,1.6477121792387883,fit
298,298,298,2,12,C,31.6227766,22.715789298986056,22.715789298986056,6.808230261153396,fit
299,299,299,2,12,C,100,53.07047705,53.07047705,16.53173649212457,fit
300,300,300,2,12,C,316.227766,129.01313678591964,129.01313678591964,54.252164527645945,fit
301,301,301,2,12,C,1000,331.97505757543945,331.97505757543945,225.4401181456794,fit
302,302,302,2,12,C,1778.2794100389228,540.8870805391089,540.8870805391089,454.0944570104537,fit
303,303,303,2,12,C,3162.2776601683795,855.4012434,855.4012434,935.3929909830804,fit
304,304,304,2,12,C,5623.413251903491,1399.4594636161628,1399.4594636161628,2192.8243806129426,fit
305,305,305,2,12,C,10000,2210.3588530957945,2210.3588530957945,3643.9993133590574,fit
306,306,306,2,12,C,31622.776601683792,4742.916534531299,4742.916534531299,7248.954298749602,fit
307,307,307,2,12,C,100000,9134.487664735503,9134.487664735503,7249.954298749602,fit
39,39,39,3,0.8,D,0.001,0.001,0.001,0.001,fit
39,39,39,3,0.8,D,1,1.197704065135913,1.197704065135913,0.030525659,fit
40,40,40,3,0.8,D,3.1622776601683795,3.0261842291340977,3.0261842291340977,0.084983098,fit
41,41,41,3,0.8,D,10,10.806380777884677,10.806380777884677,0.2219900156116148,fit
42,42,42,3,0.8,D,31.6227766,20.13201519045784,20.13201519045784,1.2311060144290409,fit
43,43,43,3,0.8,D,100,64.93760557,64.93760557,23.271917201335643,fit
44,44,44,3,0.8,D,316.227766,185.8286098368843,185.8286098368843,70.62011822157372,fit
45,45,45,3,0.8,D,1000,469.4014497082104,469.4014497082104,219.1338753321573,fit
46,46,46,3,0.8,D,1778.2794100389228,819.8513487042701,819.8513487042701,379.8346285624099,fit
47,47,47,3,0.8,D,3162.2776601683795,1335.5482111135375,1335.5482111135375,610.0187719859516,fit
48,48,48,3,0.8,D,5623.413251903491,2154.784237034168,2154.784237034168,1099.138612680573,fit
49,49,49,3,0.8,D,10000,3304.006379646132,3304.006379646132,2068.623760171769,fit
50,50,50,3,0.8,D,31622.776601683792,9830.382535404564,9830.382535404564,5134.282644010952,fit
51,51,51,3,0.8,D,100000,41474.92576,41474.92576,15315.572085249663,fit
117,117,117,3,2.3,D,0.001,0.001,0.001,0.001,fit
117,117,117,3,2.3,D,1,0.8777658598922167,0.8777658598922167,0.014868316,fit
118,118,118,3,2.3,D,3.1622776601683795,2.412165808693482,2.412165808693482,0.075896679,fit
119,119,119,3,2.3,D,10,6.898898548877755,6.898898548877755,0.5247035456396739,fit
120,120,120,3,2.3,D,31.6227766,15.160497087100053,15.160497087100053,5.500530253536601,fit
121,121,121,3,2.3,D,100,29.54276955309166,29.54276955309166,12.329978472454687,fit
122,122,122,3,2.3,D,316.227766,65.66130868565028,65.66130868565028,36.06519569471305,fit
123,123,123,3,2.3,D,1000,165.15550401172166,165.15550401172166,108.19781061244711,fit
